type,category,vacancy_type,vacancy,lastupdate,time of api
P,HOURLY,A,51,2021-03-10 11:43:03,2021-03-10 11:45:00+00:00
P,HOURLY,A,41,2021-03-10 11:57:03,2021-03-10 12:00:00+00:00
P,HOURLY,A,36,2021-03-10 12:11:04,2021-03-10 12:15:00+00:00
P,HOURLY,A,34,2021-03-10 12:27:04,2021-03-10 12:30:00+00:00
P,HOURLY,A,16,2021-03-10 12:43:03,2021-03-10 12:45:00+00:00
P,HOURLY,A,10,2021-03-10 12:57:04,2021-03-10 13:00:00+00:00
P,HOURLY,A,3,2021-03-10 13:11:03,2021-03-10 13:15:00+00:00
P,HOURLY,A,0,2021-03-10 13:27:06,2021-03-10 13:30:00+00:00
P,HOURLY,A,0,2021-03-10 13:41:04,2021-03-10 13:45:00+00:00
P,HOURLY,A,2,2021-03-10 13:57:03,2021-03-10 14:00:00+00:00
P,HOURLY,A,8,2021-03-10 14:13:03,2021-03-10 14:15:00+00:00
P,HOURLY,A,10,2021-03-10 14:27:03,2021-03-10 14:30:00+00:00
P,HOURLY,A,7,2021-03-10 14:43:03,2021-03-10 14:45:00+00:00
P,HOURLY,A,11,2021-03-10 14:57:04,2021-03-10 15:00:00+00:00
P,HOURLY,A,10,2021-03-10 15:13:03,2021-03-10 15:15:00+00:00
P,HOURLY,A,9,2021-03-10 15:27:03,2021-03-10 15:30:00+00:00
P,HOURLY,A,13,2021-03-10 15:43:03,2021-03-10 15:45:00+00:00
P,HOURLY,A,21,2021-03-10 15:57:03,2021-03-10 16:00:00+00:00
P,HOURLY,A,26,2021-03-10 16:13:04,2021-03-10 16:15:00+00:00
P,HOURLY,A,30,2021-03-10 16:27:03,2021-03-10 16:30:00+00:00
P,HOURLY,A,34,2021-03-10 16:41:04,2021-03-10 16:45:00+00:00
P,HOURLY,A,35,2021-03-10 16:57:03,2021-03-10 17:00:00+00:00
P,HOURLY,A,42,2021-03-10 17:13:03,2021-03-10 17:15:00+00:00
P,HOURLY,A,43,2021-03-10 17:27:04,2021-03-10 17:30:00+00:00
P,HOURLY,A,53,2021-03-10 17:41:03,2021-03-10 17:45:00+00:00
P,HOURLY,A,60,2021-03-10 17:57:04,2021-03-10 18:00:00+00:00
P,HOURLY,A,56,2021-03-10 18:11:03,2021-03-10 18:15:00+00:00
P,HOURLY,A,47,2021-03-10 18:27:05,2021-03-10 18:30:00+00:00
P,HOURLY,A,40,2021-03-10 18:43:03,2021-03-10 18:45:00+00:00
P,HOURLY,A,36,2021-03-10 18:57:03,2021-03-10 19:00:00+00:00
P,HOURLY,A,37,2021-03-10 19:11:03,2021-03-10 19:15:00+00:00
P,HOURLY,A,36,2021-03-10 19:27:03,2021-03-10 19:30:00+00:00
P,HOURLY,A,33,2021-03-10 19:43:03,2021-03-10 19:45:00+00:00
P,HOURLY,A,42,2021-03-10 19:57:04,2021-03-10 20:00:00+00:00
P,HOURLY,A,48,2021-03-10 20:13:04,2021-03-10 20:15:00+00:00
P,HOURLY,A,54,2021-03-10 20:27:03,2021-03-10 20:30:00+00:00
P,HOURLY,A,59,2021-03-10 20:43:03,2021-03-10 20:45:00+00:00
P,HOURLY,A,71,2021-03-10 20:57:05,2021-03-10 21:00:00+00:00
P,HOURLY,A,82,2021-03-10 21:13:04,2021-03-10 21:15:00+00:00
P,HOURLY,A,89,2021-03-10 21:27:03,2021-03-10 21:30:00+00:00
P,HOURLY,A,94,2021-03-10 21:41:03,2021-03-10 21:45:00+00:00
P,HOURLY,A,104,2021-03-10 21:57:03,2021-03-10 22:00:00+00:00
P,HOURLY,A,122,2021-03-10 22:11:03,2021-03-10 22:15:00+00:00
P,HOURLY,A,136,2021-03-10 22:27:03,2021-03-10 22:30:00+00:00
P,HOURLY,A,137,2021-03-10 22:41:04,2021-03-10 22:45:00+00:00
P,HOURLY,A,137,2021-03-10 22:57:04,2021-03-10 23:00:00+00:00
P,HOURLY,A,137,2021-03-10 23:11:03,2021-03-10 23:15:00+00:00
P,HOURLY,A,140,2021-03-10 23:27:04,2021-03-10 23:30:00+00:00
P,HOURLY,A,141,2021-03-10 23:41:03,2021-03-10 23:45:00+00:00
P,HOURLY,A,141,2021-03-10 23:57:03,2021-03-11 00:00:00+00:00
P,HOURLY,A,141,2021-03-11 00:11:03,2021-03-11 00:15:00+00:00
P,HOURLY,A,143,2021-03-11 00:27:03,2021-03-11 00:30:00+00:00
P,HOURLY,A,142,2021-03-11 00:43:03,2021-03-11 00:45:00+00:00
P,HOURLY,A,142,2021-03-11 00:57:03,2021-03-11 01:00:00+00:00
P,HOURLY,A,142,2021-03-11 01:13:03,2021-03-11 01:15:00+00:00
P,HOURLY,A,141,2021-03-11 01:27:03,2021-03-11 01:30:00+00:00
P,HOURLY,A,141,2021-03-11 01:41:03,2021-03-11 01:45:00+00:00
P,HOURLY,A,143,2021-03-11 01:57:03,2021-03-11 02:00:00+00:00
P,HOURLY,A,142,2021-03-11 02:11:03,2021-03-11 02:15:00+00:00
P,HOURLY,A,141,2021-03-11 02:27:04,2021-03-11 02:30:00+00:00
P,HOURLY,A,141,2021-03-11 02:41:03,2021-03-11 02:45:00+00:00
P,HOURLY,A,141,2021-03-11 02:57:03,2021-03-11 03:00:00+00:00
P,HOURLY,A,142,2021-03-11 03:11:03,2021-03-11 03:15:00+00:00
P,HOURLY,A,142,2021-03-11 03:27:03,2021-03-11 03:30:00+00:00
P,HOURLY,A,143,2021-03-11 03:41:03,2021-03-11 03:45:00+00:00
P,HOURLY,A,143,2021-03-11 03:57:03,2021-03-11 04:00:00+00:00
P,HOURLY,A,143,2021-03-11 04:11:03,2021-03-11 04:15:00+00:00
P,HOURLY,A,143,2021-03-11 04:27:03,2021-03-11 04:30:00+00:00
P,HOURLY,A,143,2021-03-11 04:41:03,2021-03-11 04:45:00+00:00
P,HOURLY,A,143,2021-03-11 04:57:03,2021-03-11 05:00:00+00:00
P,HOURLY,A,143,2021-03-11 05:13:03,2021-03-11 05:15:00+00:00
P,HOURLY,A,143,2021-03-11 05:27:03,2021-03-11 05:30:00+00:00
P,HOURLY,A,143,2021-03-11 05:43:03,2021-03-11 05:45:00+00:00
P,HOURLY,A,143,2021-03-11 05:57:06,2021-03-11 06:00:00+00:00
P,HOURLY,A,143,2021-03-11 06:11:03,2021-03-11 06:15:00+00:00
P,HOURLY,A,143,2021-03-11 06:27:03,2021-03-11 06:30:00+00:00
P,HOURLY,A,143,2021-03-11 06:41:03,2021-03-11 06:45:00+00:00
P,HOURLY,A,143,2021-03-11 06:57:03,2021-03-11 07:00:00+00:00
P,HOURLY,A,143,2021-03-11 07:13:03,2021-03-11 07:15:00+00:00
P,HOURLY,A,143,2021-03-11 07:27:03,2021-03-11 07:30:00+00:00
P,HOURLY,A,141,2021-03-11 07:41:03,2021-03-11 07:45:00+00:00
P,HOURLY,A,138,2021-03-11 07:57:06,2021-03-11 08:00:00+00:00
P,HOURLY,A,137,2021-03-11 08:13:03,2021-03-11 08:15:00+00:00
P,HOURLY,A,134,2021-03-11 08:27:03,2021-03-11 08:30:00+00:00
P,HOURLY,A,131,2021-03-11 08:41:04,2021-03-11 08:45:00+00:00
P,HOURLY,A,127,2021-03-11 08:57:03,2021-03-11 09:00:00+00:00
P,HOURLY,A,122,2021-03-11 09:11:03,2021-03-11 09:15:00+00:00
P,HOURLY,A,119,2021-03-11 09:27:03,2021-03-11 09:30:00+00:00
P,HOURLY,A,112,2021-03-11 09:41:03,2021-03-11 09:45:00+00:00
P,HOURLY,A,113,2021-03-11 09:57:03,2021-03-11 10:00:00+00:00
P,HOURLY,A,105,2021-03-11 10:13:03,2021-03-11 10:15:00+00:00
P,HOURLY,A,102,2021-03-11 10:27:03,2021-03-11 10:30:00+00:00
P,HOURLY,A,94,2021-03-11 10:41:03,2021-03-11 10:45:00+00:00
